delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Polygon.started,Polygon.stopped,key_Resp.keys,key_Resp.rt,key_Resp.started,key_Resp.stopped,Sound_1.started,Sound_1.stopped,display_text.started,display_text.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.4,1000,unexp,2,0,20,4,216.2252907,221.2286399,223.2119922,None,space,0.5434547,223.2119922,None,224.1625829,None,224.5535565,None,1,0.8150685,224.5535565,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,2,1,21,1,225.3582281,230.3616604,232.3445613,None,space,0.4436572,232.3445613,None,233.1964054,None,233.5849697,None,1,0.6082841,233.5849697,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,2,2,22,9,234.1760838,239.1779206,241.1609978,None,space,0.3611922,241.1609978,None,241.6285721,None,242.0110758,None,1,1.0263345,242.0110758,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,2,3,23,8,243.0255211,248.0274593,250.0101848,None,space,0.4688035,250.0101848,None,251.1941608,None,251.5782385,None,1,0.6831771,251.5782385,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,2,4,24,6,252.2411602,257.2436625,259.2269957,None,space,0.5802667,259.2269957,None,259.9103888,None,260.3043661,None,1,2.9406914,260.3043661,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,2,5,25,3,263.2232756,268.2262567,270.1941965,None,space,0.6545933,270.1941965,None,270.9609791,None,271.3590116,None,1,0.7310346,271.3590116,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,2,6,26,0,272.0725955,277.0758073,279.0592797,None,space,0.5647091,279.0592797,None,279.7260485,None,280.1096105,None,1,0.741631,280.1096105,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,400,exp,2,7,27,7,280.8393881,285.8422577,287.8255378,None,space,0.3658726,287.8255378,None,288.5925609,None,288.9842102,None,1.84375,1.1243486,288.9842102,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,1000,unexp,2,8,28,2,290.0887585,295.0922945,297.0754512,None,space,0.4046964,297.0754512,None,298.192974,None,298.5822003,None,1.972656161,1.4496892,298.5822003,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,2,9,29,5,300.0211084,305.0248408,307.0082828,None,space,0.4335825,307.0082828,None,308.1419981,None,308.5370935,None,3.0390625,1.4779253,308.5370935,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,400,exp,3,0,30,7,310.0040683,315.0078153,316.9907909,None,space,0.3754809,316.9907909,None,317.7743055,None,318.1644392,None,1.0703125,1.2626984,318.1644392,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,3,1,31,6,319.4205759,324.4236238,326.3904646,None,space,0.2788234,326.3904646,None,326.7740575,None,327.1647208,None,1.0703125,1.4628976,327.1647208,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,1000,unexp,3,2,32,2,328.6208501,333.6232051,335.6064915,None,space,0.4246838,335.6064915,None,336.7386306,None,337.1249475,None,1.94921875,1.3224052,337.1249475,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,3,3,33,9,338.4378009,343.4397035,345.4224584,None,space,0.6138393,345.4224584,None,346.1402565,None,346.5277109,None,1.046875089,1.2075128,346.5277109,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,3,4,34,5,347.7361374,352.7388973,354.7229973,None,space,0.2824236,354.7229973,None,355.7064726,None,356.0930592,None,1.9140625,1.1819369,356.0930592,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
